platform,creator_handle,tiktok_handle,tier,video_id,content_format,sound_type,published_date,follower_count,view_count,like_count,comment_count,share_count,duration_sec,watch_through_rate,watch_time_total_sec,engagement_rate,view_follower_ratio,total_engagements,modeled_spend_usd,cost_per_engagement,campaign,brand
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_001,Skincare Routine,Original,2025-03-09,950000,589954,68467,8055,4027,60,0.739,26158560,0.08479,0.621,80549,1866.59,0.0232,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_002,Skincare Routine,Licensed,2025-01-16,950000,444865,44937,5286,2643,60,0.546,14573777,0.05565,0.4683,52866,1693.05,0.032,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_003,Skincare Routine,Original,2025-03-12,950000,658050,65262,7677,3838,15,0.571,5636198,0.08082,0.6927,76777,2404.69,0.0313,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_004,Tutorial,Trending,2025-01-23,950000,426178,48587,5716,2858,30,0.64,8182617,0.06017,0.4486,57161,1688.42,0.0295,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_005,Tutorial,Original,2025-01-01,950000,258887,44388,5222,2611,180,0.294,13700300,0.05497,0.2725,52221,1648.0,0.0316,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_006,Trending Sound,Trending,2025-01-03,950000,368924,74031,8709,4354,45,0.668,11089855,0.09168,0.3883,87094,2370.61,0.0272,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_007,Trending Sound,Trending,2025-03-30,950000,480538,57534,6768,3384,120,0.432,24911089,0.07125,0.5058,67686,2743.96,0.0405,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_008,Tutorial,Trending,2025-02-02,950000,701309,56944,6699,3349,90,0.424,26761951,0.07052,0.7382,66992,1799.72,0.0269,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_009,GRWM,Original,2025-02-28,950000,569015,40924,4814,2407,90,0.405,20740596,0.05068,0.599,48145,1124.65,0.0234,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_010,Skincare Routine,Trending,2025-01-28,950000,472533,49402,5812,2906,60,0.551,15621940,0.06118,0.4974,58120,2240.66,0.0386,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_011,Trending Sound,Trending,2025-02-15,950000,331876,41109,4836,2418,60,0.549,10931995,0.05091,0.3493,48363,1542.73,0.0319,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_012,Haul,Original,2025-03-28,950000,316393,50719,5966,2983,180,0.335,19078497,0.06281,0.333,59668,1473.74,0.0247,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_013,Product Review,Original,2025-01-23,950000,194431,29659,3489,1744,90,0.418,7314494,0.03673,0.2047,34892,919.85,0.0264,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_014,Product Review,Licensed,2025-02-11,950000,383659,51187,6022,3011,90,0.329,11360142,0.06339,0.4039,60220,2296.85,0.0381,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_000,Trending Sound,Trending,2025-01-16,14200000,3838698,1685575,198303,99151,90,0.464,160304028,0.13965,0.2703,1983029,96594.86,0.0487,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_001,GRWM,Original,2025-03-03,14200000,1673456,856728,100791,50395,90,0.331,49852254,0.07098,0.1178,1007914,39539.39,0.0392,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_002,Duet/Stitch,Trending,2025-01-05,14200000,2586592,779601,91717,45858,30,0.91,70613961,0.06459,0.1822,917176,39271.39,0.0428,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_003,Trending Sound,Trending,2025-01-19,14200000,2689366,465902,54812,27406,90,0.374,90524059,0.0386,0.1894,548120,21401.82,0.039,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_004,Product Review,Original,2025-02-17,14200000,2294205,712130,83780,41890,30,0.67,46113520,0.059,0.1616,837800,31902.82,0.0381,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_005,Haul,Original,2025-03-08,14200000,3481763,780687,91845,45922,90,0.487,152605672,0.06468,0.2452,918454,35987.34,0.0392,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_006,Skincare Routine,Trending,2025-02-02,14200000,2841003,885093,104128,52064,30,0.443,37756929,0.07333,0.2001,1041285,37504.73,0.036,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_007,Tutorial,Trending,2025-03-10,14200000,2743833,609414,71695,35847,15,0.72,29633396,0.05049,0.1932,716956,33727.69,0.047,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_008,Duet/Stitch,Trending,2025-02-02,14200000,3584939,748581,88068,44034,90,0.425,137123916,0.06202,0.2525,880683,48519.01,0.0551,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_009,Duet/Stitch,Original,2025-01-08,14200000,2939972,687990,80940,40470,180,0.353,186805820,0.057,0.207,809400,35070.04,0.0433,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_010,Tutorial,Licensed,2025-03-16,14200000,1903742,434882,51162,25581,60,0.47,53685524,0.03603,0.1341,511625,26218.81,0.0512,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_011,Tutorial,Trending,2025-02-18,14200000,2428403,665419,78284,39142,30,0.805,58645932,0.05513,0.171,782845,36031.9,0.046,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_012,GRWM,Trending,2025-02-24,14200000,3803686,354737,41733,20866,120,0.302,137845580,0.02939,0.2679,417336,18509.17,0.0444,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_013,Tutorial,Licensed,2025-01-12,14200000,5266182,537235,63204,31602,45,0.531,125835418,0.04451,0.3709,632041,30173.52,0.0477,GlowMetric_Q1_2025,GlowMetric
TikTok,NikkieTutorials,@nikkietutorials,Mega,tt_nikkietutorials_014,Trending Sound,Trending,2025-01-16,14200000,3654396,623656,73371,36685,90,0.311,102286544,0.05167,0.2574,733712,18604.74,0.0254,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_000,Product Review,Original,2025-02-26,2100000,491500,72595,8540,4270,90,0.427,18888345,0.04067,0.234,85405,2926.17,0.0343,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_001,Haul,Original,2025-01-17,2100000,1518285,103101,12129,6064,180,0.434,118608424,0.05776,0.723,121294,4050.58,0.0334,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_002,GRWM,Original,2025-02-06,2100000,618037,114382,13456,6728,90,0.354,19690658,0.06408,0.2943,134566,4319.3,0.0321,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_003,Duet/Stitch,Trending,2025-01-19,2100000,825363,118559,13948,6974,60,0.671,33229114,0.06642,0.393,139481,3747.17,0.0269,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_004,Duet/Stitch,Trending,2025-02-27,2100000,1035805,119362,14042,7021,30,0.688,21379015,0.06687,0.4932,140425,4350.2,0.031,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_005,Tutorial,Licensed,2025-01-25,2100000,917587,134303,15800,7900,90,0.35,28903990,0.07524,0.4369,158003,3958.45,0.0251,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_006,Skincare Routine,Original,2025-01-20,2100000,755765,148279,17444,8722,180,0.386,52510552,0.08307,0.3599,174445,4815.74,0.0276,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_007,GRWM,Original,2025-03-28,2100000,555098,85358,10042,5021,180,0.332,33172656,0.04782,0.2643,100421,3913.68,0.039,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_008,Skincare Routine,Original,2025-02-27,2100000,1764798,94729,11144,5572,45,0.537,42646343,0.05307,0.8404,111445,2819.34,0.0253,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_009,Skincare Routine,Original,2025-01-29,2100000,432519,95622,11249,5624,60,0.713,18503162,0.05357,0.206,112495,2787.79,0.0248,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_010,GRWM,Original,2025-01-05,2100000,699772,127859,15042,7521,60,0.562,23596311,0.07163,0.3332,150422,5448.01,0.0362,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_011,Skincare Routine,Original,2025-01-01,2100000,827212,88125,10367,5183,45,0.541,20138476,0.04937,0.3939,103675,3869.66,0.0373,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_012,GRWM,Licensed,2025-02-22,2100000,842904,175304,20624,10312,90,0.39,29585930,0.09821,0.4014,206240,7216.76,0.035,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_013,Trending Sound,Trending,2025-03-03,2100000,648499,90231,10615,5307,30,0.733,14260493,0.05055,0.3088,106153,3554.73,0.0335,GlowMetric_Q1_2025,GlowMetric
TikTok,WayneGoss,@waynegoss,Macro,tt_waynegoss_014,Trending Sound,Trending,2025-01-05,2100000,182838,125860,14807,7403,90,0.437,7191018,0.07051,0.0871,148070,4214.45,0.0285,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_000,GRWM,Trending,2025-01-14,680000,441307,69608,8189,4094,60,0.678,17952368,0.12043,0.649,81891,1699.25,0.0208,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_001,Skincare Routine,Trending,2025-02-21,680000,571134,34200,4023,2011,45,0.628,16140246,0.05917,0.8399,40234,867.13,0.0216,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_002,Product Review,Licensed,2025-01-10,680000,336621,51465,6054,3027,60,0.636,12845457,0.08904,0.495,60546,1467.49,0.0242,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_003,Product Review,Original,2025-02-12,680000,334187,29697,3493,1746,180,0.279,16782871,0.05138,0.4915,34936,758.39,0.0217,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_004,GRWM,Original,2025-02-01,680000,240749,56216,6613,3306,45,0.545,5904369,0.09726,0.354,66135,1679.1,0.0254,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_005,GRWM,Original,2025-02-15,680000,269901,43274,5091,2545,30,0.709,5740794,0.07487,0.3969,50910,958.93,0.0188,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_006,Product Review,Original,2025-03-04,680000,359055,45500,5352,2676,90,0.342,11051712,0.07872,0.528,53528,1216.03,0.0227,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_007,GRWM,Original,2025-01-28,680000,401620,50210,5907,2953,60,0.547,13181168,0.08687,0.5906,59070,1310.61,0.0222,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_008,Product Review,Original,2025-01-18,680000,525745,35171,4137,2068,120,0.603,38042908,0.06085,0.7732,41376,1076.73,0.026,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_009,Duet/Stitch,Original,2025-02-13,680000,270440,45361,5336,2668,45,0.499,6072730,0.07848,0.3977,53365,998.21,0.0187,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_010,Skincare Routine,Trending,2025-03-27,680000,156582,48141,5663,2831,60,0.809,7600490,0.08329,0.2303,56635,1134.64,0.02,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_011,Tutorial,Original,2025-02-28,680000,246992,48806,5741,2870,45,0.678,7535725,0.08444,0.3632,57417,1037.88,0.0181,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_012,Haul,Licensed,2025-01-04,680000,213754,49101,5776,2888,30,0.672,4309280,0.08495,0.3143,57765,1156.93,0.02,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_013,GRWM,Licensed,2025-02-20,680000,514527,51603,6071,3035,15,0.719,5549173,0.08928,0.7567,60709,1429.17,0.0235,GlowMetric_Q1_2025,GlowMetric
TikTok,JamieGenevieve,@jamiegenevieve,Mid,tt_jamiegenevieve_014,Tutorial,Original,2025-01-20,680000,186008,98462,11583,5791,90,0.332,5557919,0.17035,0.2735,115836,2804.59,0.0242,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_000,GRWM,Original,2025-01-03,420000,125549,37520,4414,2207,60,0.545,4105452,0.1051,0.2989,44141,809.79,0.0183,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_001,Skincare Routine,Trending,2025-01-24,420000,181567,39648,4664,2332,90,0.411,6716163,0.11106,0.4323,46644,1273.88,0.0273,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_002,Trending Sound,Trending,2025-03-05,420000,184660,55442,6522,3261,120,0.42,9306864,0.1553,0.4397,65225,1394.8,0.0214,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_003,Duet/Stitch,Original,2025-03-26,420000,220187,36142,4252,2126,90,0.353,6995340,0.10124,0.5243,42520,876.67,0.0206,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_004,Skincare Routine,Original,2025-03-13,420000,310866,34843,4099,2049,45,0.711,9946157,0.0976,0.7402,40991,1020.58,0.0249,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_005,Skincare Routine,Trending,2025-03-07,420000,109300,30027,3532,1766,90,0.3,2951100,0.08411,0.2602,35325,779.02,0.0221,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_006,Haul,Original,2025-03-05,420000,162145,28306,3330,1665,120,0.304,5915049,0.07929,0.3861,33301,869.74,0.0261,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_007,Trending Sound,Trending,2025-02-02,420000,457029,37749,4441,2220,60,0.636,17440226,0.10574,1.0882,44410,1088.57,0.0245,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_008,GRWM,Original,2025-01-31,420000,422557,33986,3998,1999,120,0.444,22513836,0.0952,1.0061,39983,814.84,0.0204,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_009,Product Review,Trending,2025-02-14,420000,236153,52029,6121,3060,60,0.374,5299273,0.14574,0.5623,61210,1270.95,0.0208,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_010,Tutorial,Original,2025-03-15,420000,272541,50544,5946,2973,45,0.469,5751977,0.14158,0.6489,59463,1211.31,0.0204,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_011,Skincare Routine,Trending,2025-03-01,420000,117994,28185,3315,1657,60,0.528,3738049,0.07895,0.2809,33157,682.88,0.0206,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_012,GRWM,Original,2025-02-05,420000,181518,42561,5007,2503,30,0.685,3730194,0.11922,0.4322,50071,1026.53,0.0205,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_013,Haul,Original,2025-01-09,420000,236206,34636,4074,2037,60,0.504,7142869,0.09702,0.5624,40747,878.67,0.0216,GlowMetric_Q1_2025,GlowMetric
TikTok,RachelHigginson,@rachelhigginson,Mid,tt_rachelhigginson_014,Trending Sound,Trending,2025-01-17,420000,160183,40469,4761,2380,60,0.436,4190387,0.11336,0.3814,47610,689.79,0.0145,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_000,Duet/Stitch,Original,2025-01-26,310000,205904,17688,2081,1040,30,0.646,3990419,0.06713,0.6642,20809,524.43,0.0252,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_001,Tutorial,Original,2025-01-01,310000,153113,17696,2081,1040,30,0.72,3307240,0.06716,0.4939,20817,468.98,0.0225,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_002,Product Review,Licensed,2025-01-30,310000,292544,18903,2223,1111,45,0.772,10162978,0.07174,0.9437,22237,448.88,0.0202,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_003,Duet/Stitch,Trending,2025-02-07,310000,258457,20189,2375,1187,60,0.437,6776742,0.07662,0.8337,23751,794.79,0.0335,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_004,GRWM,Original,2025-02-03,310000,135863,21464,2525,1262,90,0.41,5013344,0.08146,0.4383,25251,531.53,0.021,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_005,GRWM,Original,2025-03-13,310000,207029,18703,2200,1100,90,0.423,7881594,0.07098,0.6678,22003,408.65,0.0186,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_006,Trending Sound,Trending,2025-03-19,310000,208288,21585,2539,1269,45,0.531,4977041,0.08192,0.6719,25393,528.1,0.0208,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_007,Duet/Stitch,Original,2025-03-26,310000,86611,20700,2435,1217,30,0.883,2294325,0.07856,0.2794,24352,601.33,0.0247,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_008,GRWM,Original,2025-01-02,310000,87428,35266,4149,2074,120,0.351,3682467,0.13384,0.282,41489,1068.3,0.0257,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_009,GRWM,Trending,2025-03-27,310000,140966,29245,3440,1720,90,0.438,5556879,0.11099,0.4547,34405,717.01,0.0208,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_010,GRWM,Original,2025-03-22,310000,191047,22906,2694,1347,60,0.545,6247236,0.08693,0.6163,26947,484.69,0.018,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_011,Duet/Stitch,Trending,2025-03-28,310000,99430,31222,3673,1836,30,0.593,1768859,0.11849,0.3207,36731,820.4,0.0223,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_012,Trending Sound,Trending,2025-03-17,310000,292198,28992,3410,1705,60,0.538,9432151,0.11003,0.9426,34107,677.67,0.0199,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_013,Skincare Routine,Original,2025-02-15,310000,326016,35836,4216,2108,90,0.288,8450334,0.136,1.0517,42160,765.54,0.0182,GlowMetric_Q1_2025,GlowMetric
TikTok,GlitterandLazers,@glitterandlazers,Mid,tt_glitterandlazers_014,GRWM,Original,2025-02-09,310000,148343,23841,2804,1402,60,0.502,4468091,0.09048,0.4785,28047,499.66,0.0178,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_000,Haul,Trending,2025-01-22,48000,58268,6306,741,370,120,0.411,2873777,0.15456,1.2139,7417,80.15,0.0108,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_001,Skincare Routine,Trending,2025-01-26,48000,34315,5559,654,327,60,0.427,879150,0.13625,0.7149,6540,83.42,0.0128,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_002,Skincare Routine,Licensed,2025-02-04,48000,28430,3454,406,203,90,0.33,844371,0.08468,0.5923,4063,63.13,0.0155,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_003,Trending Sound,Trending,2025-02-18,48000,27958,7896,928,464,60,0.493,826997,0.19353,0.5825,9288,98.44,0.0106,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_004,GRWM,Trending,2025-01-08,48000,41932,5903,694,347,30,0.845,1062976,0.1447,0.8736,6944,77.77,0.0112,GlowMetric_Q1_2025,GlowMetric
TikTok,HouseOfCB,@houseofcb_beauty,Nano,tt_houseofcb_005,Tutorial,Licensed,2025-02-28,48000,60395,7319,861,430,180,0.396,4304955,0.1794,1.2582,8610,105.74,0.0123,GlowMetric_Q1_2025,GlowMetric
